Date,Title,Artist
16/10/1988,Un roman d'amitié,Elsa et Glenn Medeiros
23/10/1988,Un roman d'amitié,Elsa et Glenn Medeiros
30/10/1988,Amor de mis amores (reprise de la valse péruvienne Que nadie sepa mi sufrir adaptée par Édith Piaf sous le titre La foule),Paco
06/11/1988,Amor de mis amores (reprise de la valse péruvienne Que nadie sepa mi sufrir adaptée par Édith Piaf sous le titre La foule),Paco
13/11/1988,Amor de mis amores (reprise de la valse péruvienne Que nadie sepa mi sufrir adaptée par Édith Piaf sous le titre La foule),Paco
20/11/1988,Amor de mis amores (reprise de la valse péruvienne Que nadie sepa mi sufrir adaptée par Édith Piaf sous le titre La foule),Paco
27/11/1988,Amor de mis amores (reprise de la valse péruvienne Que nadie sepa mi sufrir adaptée par Édith Piaf sous le titre La foule),Paco
04/12/1988,Pourvu qu'elles soient douces,Mylène Farmer
11/12/1988,Pourvu qu'elles soient douces,Mylène Farmer
18/12/1988,Pourvu qu'elles soient douces,Mylène Farmer
25/12/1988,Pourvu qu'elles soient douces,Mylène Farmer
01/01/1989,Pourvu qu'elles soient douces,Mylène Farmer
08/01/1989,High,David Hallyday
15/01/1989,High,David Hallyday
22/01/1989,High,David Hallyday
29/01/1989,High,David Hallyday
05/02/1989,High,David Hallyday
12/02/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
19/02/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
26/02/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
05/03/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
12/03/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
19/03/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
26/03/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
02/04/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
09/04/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
16/04/1989,Pour toi Arménie,Charles Aznavour et divers chanteurs
23/04/1989,Boney M Megamix,Boney M
30/04/1989,Boney M Megamix,Boney M
